book,chapter,title,totalChars,dialogueChars,dialogueRatio,sentenceCount,avgSentenceLen,bannedHits
一睁眼，前夫成了我懒汉相公,274,收到来信,2025,474,23.4,100,20.2,0
一睁眼，前夫成了我懒汉相公,275,分钱,2031,666,32.8,100,20.3,0
一睁眼，前夫成了我懒汉相公,276,回村,2057,395,19.2,85,24.2,0
一睁眼，前夫成了我懒汉相公,277,拦下,2083,134,6.4,73,28.5,0
一睁眼，前夫成了我懒汉相公,278,流民,2079,495,23.8,92,22.6,0
一睁眼，前夫成了我懒汉相公,279,当枪使,2196,536,24.4,105,20.9,0
一睁眼，前夫成了我懒汉相公,280,讽刺,2006,688,34.3,88,22.8,3
一睁眼，前夫成了我懒汉相公,281,回去,2065,503,24.4,107,19.3,0
一睁眼，前夫成了我懒汉相公,282,婚事,2180,465,21.3,107,20.4,0
一睁眼，前夫成了我懒汉相公,283,杀猪,2029,329,16.2,96,21.1,0
一睁眼，前夫成了我懒汉相公,284,谈崩,2098,329,15.7,101,20.8,0
一睁眼，前夫成了我懒汉相公,285,乱了,2037,447,21.9,79,25.8,1
一睁眼，前夫成了我懒汉相公,286,沦陷,2101,248,11.8,85,24.7,1
一睁眼，前夫成了我懒汉相公,287,杀过来了,2169,472,21.8,98,22.1,1
一睁眼，前夫成了我懒汉相公,288,快跑,1993,228,11.4,95,21.0,0
一睁眼，前夫成了我懒汉相公,289,来晚了,2040,131,6.4,93,21.9,1
一睁眼，前夫成了我懒汉相公,290,在慌，在怕,1990,137,6.9,85,23.4,4
一睁眼，前夫成了我懒汉相公,291,加入,2024,396,19.6,99,20.4,1
一睁眼，前夫成了我懒汉相公,292,读书人？,2125,378,17.8,103,20.6,1
一睁眼，前夫成了我懒汉相公,293,尽管挑,2103,344,16.4,105,20.0,1
一睁眼，前夫成了我懒汉相公,294,真是废物,2087,605,29.0,105,19.9,1
一睁眼，前夫成了我懒汉相公,295,读书人的脑子就是好使,2035,371,18.2,87,23.4,2
一睁眼，前夫成了我懒汉相公,296,杀,1990,376,18.9,90,22.1,2
一睁眼，前夫成了我懒汉相公,297,中计,2049,389,19.0,91,22.5,1
一睁眼，前夫成了我懒汉相公,298,姐夫,2067,643,31.1,115,18.0,1
一睁眼，前夫成了我懒汉相公,299,安定,2048,326,15.9,77,26.6,1
一睁眼，前夫成了我懒汉相公,300,山洞,2003,387,19.3,96,20.9,0
一睁眼，前夫成了我懒汉相公,301,有密切的关系,2084,291,14.0,97,21.5,0
一睁眼，前夫成了我懒汉相公,302,一点点,2045,357,17.5,98,20.9,2
一睁眼，前夫成了我懒汉相公,303,满足她们这个愿望,1999,684,34.2,87,23.0,0
一睁眼，前夫成了我懒汉相公,304,竟然是他？,2005,711,35.5,93,21.6,0
一睁眼，前夫成了我懒汉相公,305,分房子,2169,632,29.1,98,22.1,0
一睁眼，前夫成了我懒汉相公,306,胆大包天,2098,562,26.8,98,21.4,0
一睁眼，前夫成了我懒汉相公,307,小别胜新婚？,1998,606,30.3,121,16.5,2
一睁眼，前夫成了我懒汉相公,308,这谁顶得住？,2033,195,9.6,96,21.2,0
一睁眼，前夫成了我懒汉相公,309,字面意义上的解决,2073,212,10.2,89,23.3,1
一睁眼，前夫成了我懒汉相公,310,四叔，我想练武,2035,386,19.0,113,18.0,0
一睁眼，前夫成了我懒汉相公,311,城内景象,2025,257,12.7,87,23.3,0
一睁眼，前夫成了我懒汉相公,312,已经被胡原搬空了,2150,488,22.7,85,25.3,2
一睁眼，前夫成了我懒汉相公,313,他答应放了你，但是我没答应,2028,491,24.2,104,19.5,2
一睁眼，前夫成了我懒汉相公,314,跟我走,2099,259,12.3,109,19.3,1
一睁眼，前夫成了我懒汉相公,315,这谁不心动？,2049,254,12.4,94,21.8,0
一睁眼，前夫成了我懒汉相公,316,下雨了,2028,172,8.5,86,23.6,1
一睁眼，前夫成了我懒汉相公,317,看诊,2097,280,13.4,101,20.8,0
一睁眼，前夫成了我懒汉相公,318,重新分配,2007,515,25.7,104,19.3,1
一睁眼，前夫成了我懒汉相公,319,施婉晴上门,2116,446,21.1,84,25.2,0
一睁眼，前夫成了我懒汉相公,320,装傻充愣,2061,705,34.2,79,26.1,0
一睁眼，前夫成了我懒汉相公,321,竟然拿这个来考验他！,2036,396,19.4,106,19.2,0
一睁眼，前夫成了我懒汉相公,322,以为是个纯爱，没想到是个死渣男,2050,826,40.3,109,18.8,1
一睁眼，前夫成了我懒汉相公,323,矿洞,2138,683,31.9,95,22.5,2
一睁眼，前夫成了我懒汉相公,324,回收银票,2136,520,24.3,105,20.3,1
一睁眼，前夫成了我懒汉相公,325,还是原来的青州城,2135,553,25.9,90,23.7,0
一睁眼，前夫成了我懒汉相公,336,好看吗,2012,467,23.2,105,19.2,2
一睁眼，前夫成了我懒汉相公,327,你也想回去吗？,2057,549,26.7,119,17.3,2
一睁眼，前夫成了我懒汉相公,328,田里出事了,2047,476,23.3,99,20.7,0
一睁眼，前夫成了我懒汉相公,329,能有多疼？,2028,281,13.9,84,24.1,1
一睁眼，前夫成了我懒汉相公,330,人抓到了,2043,480,23.5,95,21.5,1
一睁眼，前夫成了我懒汉相公,331,现在这里谁说了算？,2046,724,35.4,109,18.8,2
一睁眼，前夫成了我懒汉相公,332,这小子有问题,2037,473,23.2,101,20.2,1
一睁眼，前夫成了我懒汉相公,333,你去哪我去哪,2064,482,23.4,101,20.4,2
一睁眼，前夫成了我懒汉相公,334,觉得有点崩溃,2026,461,22.8,89,22.8,1
一睁眼，前夫成了我懒汉相公,335,表示表示？,3087,547,17.7,166,18.6,1
一睁眼，前夫成了我懒汉相公,336,许久未见，别来无恙,3033,778,25.7,159,19.1,2
一睁眼，前夫成了我懒汉相公,337,想空手套白狼,2862,1112,38.9,138,20.7,1
一睁眼，前夫成了我懒汉相公,338,追杀,3231,238,7.4,133,24.3,0
一睁眼，前夫成了我懒汉相公,339,合作,3021,882,29.2,160,18.9,5
一睁眼，前夫成了我懒汉相公,340,你疯了吗？,3192,1350,42.3,160,19.9,3
一睁眼，前夫成了我懒汉相公,341,进不去门了,3052,425,13.9,137,22.3,2
一睁眼，前夫成了我懒汉相公,342,有好消息,3042,158,5.2,110,27.7,2
一睁眼，前夫成了我懒汉相公,343,赚钱了,2010,632,31.4,111,18.1,2
一睁眼，前夫成了我懒汉相公,344,招人,2076,373,18.0,99,21.0,0
一睁眼，前夫成了我懒汉相公,345,正骨大师,3097,795,25.7,134,23.1,1
一睁眼，前夫成了我懒汉相公,346,难产,2926,706,24.1,142,20.6,0
一睁眼，前夫成了我懒汉相公,347,手术,3001,753,25.1,146,20.6,4
一睁眼，前夫成了我懒汉相公,348,矿工,3089,702,22.7,163,19.0,0
一睁眼，前夫成了我懒汉相公,350,你凑过来,2979,495,16.6,166,17.9,1
一睁眼，前夫成了我懒汉相公,351,有故事啊,3027,615,20.3,154,19.7,0
一睁眼，前夫成了我懒汉相公,352,如此勇猛,3117,403,12.9,158,19.7,0
一睁眼，前夫成了我懒汉相公,353,猪生病了？,3036,487,16.0,140,21.7,1
一睁眼，前夫成了我懒汉相公,354,徒手攀岩,3091,586,19.0,145,21.3,2
一睁眼，前夫成了我懒汉相公,355,人之常情,3006,543,18.1,147,20.4,2
一睁眼，前夫成了我懒汉相公,356,两眼一黑,3076,657,21.4,177,17.4,2
一睁眼，前夫成了我懒汉相公,357,又有人来了,3036,711,23.4,138,22.0,1
一睁眼，前夫成了我懒汉相公,358,跟我回去,3100,1100,35.5,188,16.5,3
一睁眼，前夫成了我懒汉相公,359,好好想想,3044,751,24.7,179,17.0,2
一睁眼，前夫成了我懒汉相公,361,你太牛了,3045,573,18.8,159,19.2,0
一睁眼，前夫成了我懒汉相公,362,剑拔弩张,3061,574,18.8,157,19.5,2
